,Chat_msg,sentiment,sent
4491,how are you doing fren,0,
4492,if you whine me again,-1,
4493,gm sensei,0,
4494,gm,0,
4495,gm guys,0,
4496,thank bro,1,
4497,gm mates i hope you have a good day,1,
4498,hey there who could i contact for a wl spot i won im coming from project hive couldnt join this server before ,0,
4499,thanks fam,1,
4500,ok,0,
4501,what do u mean,0,
4502,people who had talisman master ii wont be able to check their wallets  as long as you submitted youre good,0,
4503,wow,0,
4504,talisman master  cannot check their wallet,0,
4506,where is the wallet shipped,0,
4507,hi,0,
4508,i just submitted my address on dyno how to check my address submit successfully,0,
4509,gm,0,
4510,me as well,0,
4512,woopwoop,-1,
4513,cant wait to see talisman in my wallet ,1,
4514,no worries fam,1,
4515,thanks,0,
4517,it is still on going ,0,
4518,hey i don t get airdrop,-1,
4519,a snapshot was taken for og bohos too and  talisman will be airdroped to lucky winners but its not a guaranteed win,0,
4520,thanks have to go woop,0,
4522,woopwoop,-1,
4523,woopwoop,-1,
4524,am good than thanks,1,
4525,gm if you had a master guru staked when snapshot was taken youre good,1,
4526,          ,0,
4527,gm do i have to do anything to get talisman airdrop,0,
4528,hi,0,
4529,hi,0,
4531,gm,0,
4532,gm frens,0,
4534,lovely,1,
4535,gm,0,
4536,hello everyone,0,
4537,sdfj,0,
4538,gm,0,
4539,hi,0,
4540,hello there,0,
4541,get some fam ,0,
4542,gn,0,
4543,hellooo,0,
4544,hello,0,
4545, ,0,
4546,my bad i need to drink my coffe first  ,-1,
4547,wrong announcement channel was sent   i sent u the official one,-1,
4548,gm,0,
4549,geeezz i thought that one hahaha okeyy bozz thankss ,1,
4550,its here ,0,
4551,qq,0,
4552,why i cant see the announcement channel ,-1,
4553, supply of fabulosa,0,
4555,you can check the token adress in   its posted there,0,
4556,congrats and see you on mint day,1,
4557,correct,0,
4558,i have received it okay thanks brother  all i need to know   ,1,
4559, supply ,0,
4560,have you received it yet if yes then just wait for the mint it will serve as wl token and needed to mint,0,
4561, please check it wallet submission closed in few hours   ,0,
4562,mnt price is  right,0,
4563,no youre good to go once you have the talisman token,1,
4564,gm,0,
4565,we cant send link here  i received a talisman and want to share the solscan to verify if is it the official one,0,
4566,  i received this wl token,0,
4567,so i m a talisman master would i need to verify a wallet or anything or is just having it in my wallet all i need,0,
4568,i bought wl tokens on secondary do i need to submit wallet,0,
4569,whats up,0,
4570,check official and legit token address at ,0,
4571,cant wait to mint,1,
4572,fabulosa you mean  mint price,0,
4573, ,0,
4574,hey i got a quick question  can i ask,0,
4576,hey fam what s good,1,
4577,talisman solscan please ,0,
4578,talisman master mint price,0,
4579,hi,0,
4580,gm,0,
4581,make sure to use the token address at ,0,
4582,send friend request we can discuss how to get better ifloveto hear your experiences,1,
4583,gm,0,
4584,hello jinjo how are you,0,
4585,start with ,0,
4586,yo,0,
4587,hi yall,0,
4588,token address is in ,0,
4590,yo,0,
4591,gn,0,
4592, today token add  sir,0,
4593,you guys followed me on twitter thank you guys ,1,
4594,no worries fam ,1,
4595,ah i see thank you,1,
4596,well i have been struggling with that too,-1,
4597,damn work day busy day,-1,
4598,what u mean fam,0,
4600,its a wl token youll use it to mint ,0,
4601,gm everybody,0,
4602,get some more sleep,0,
4603, please tell me when the token was added,0,
4604,is this just an airdrop that i automatically receive or something i need to mint sorry if this is a dumb question  ,0,
4605,morning,0,
4606,yeah a bit unwell today so slept like  hours today lol,-1,
4607,need some sleep but few more hours left and im done with work,0,
4608,thank you,1,
4609,helloo,0,
4610,yeah nice lets keep rolling fam,1,
4612,hey,0,
4613,busy at work but doing good ,1,
4614,gn,0,
4615,i was told i need to somewhere,0,
4616,hey guys i won bohemian gen  wl but not sure where to register my address,0,
4617,hdh,0,
4618,never mind how is your monday treating you,0,
4619,i know and so do you it seemslike,0,
4620,yes not easy tho,0,
4621,well u gotta stop letting emotions over market,-1,
4623,especially in terra ecosystem,0,
4624,certainly i also learnt it hard way,0,
4625,yes something to learn in the space,0,
4626,send fr so i canmessage you,0,
4627,i can t seem to do tbag even tho i know how to,-1,
4628,oooh damn sad,-1,
4629,naah lol gotta take profits,0,
4630,gm,0,
4631,what did,0,
4632,gm,0,
4633,but they let me down too,-1,
4634,i had hope for eaglez,0,
4635,garbage,-1,
4636,nah they pretty much done  imnot in discord anymore i justfollow fp and their tokenomica,0,
4637,ohh isee,0,
4638,foxes,0,
4639,faded foxds,0,
4640,what is that,0,
4641,inactive now or they still doing stuff,0,
4642,what s that,0,
4643,nah mhac,0,
4644,you have  faded foxes,0,
4646,shit went from  to  fp rn tho so kinda good pull,1,
4647,back then it wasn t quite as bad,0,
4648,ya someteamsjust didn t do enough it s because it s allllllll a cash grab now,-1,
4649,of mhac cause it was the first i ever bought,0,
4650,ooof,-1,
4651,and i have  lmao,0,
4653,yo send me a friend request i can t send toyou,-1,
4654,ga,0,
4655,bro ive held mile high ape club since mint,0,
4656,there was a bunch of like hype mints back then crazy how some quickly faded out,0,
4657,lfg,0,
4658,i got out of them asap it was tough because it was first nft i ever bought,0,
4659,they were lefitduring and afyermint,0,
4660,felloff the face of the earth,-1,
4661,guru gang,0,
4662,horrible ,-1,
4663,sweet,1,
4664,yes  ,1,
4665,ive yet to receieve mine,0,
4666,throwback them where are they at now,0,
4667,are talismans still being airdropped,0,
4668,bro we are way to similar lol,1,
4669,hi,0,
4670,literallyjustmissed the cutline as i like to putit,-1,
4671, ,0,
4672,damn ya i hadi faded blue chipsback when i first got into sol nfts,0,
4673,famous fox been aroundlonger,0,
4674,they minted the sameweekback in like march or around then,0,
4675,faded foxes lmao not famous fox,0,
4676,gm fam,0,
4677,but still doing pretty well ls are part of this game,1,
4678,gm,0,
4679,naah i have too many ls cause i hold,0,
4680,still very lucky yall doing good things,1,
4681,just the one i minted,0,
4682,yoooo,0,
4683,now you have cets,0,
4684,yo,0,
4685,i saw bohemia go  too back then and i faded and cets was  but had no liquid and minted one,0,
4686,bohemia is whats cets to me,0,
4687,but famous fox cam ling before bohemia right ,0,
4688,me too and regret not buying it same wroth cets,-1,
4689,hello whats up fam,0,
4690,hi,0,
4691,woopwoop,-1,
4692,look at bohemia,0,
4693,hahahahahaha,0,
4694,fixes and eaglez are both like  solana,0,
4695,woop,0,
4696,i fuckin took the biggest l with that,-1,
4697,dude i watched bohemia at  fp and bought minted faded fixes and eaglez back then instead,0,
4698,gm,0,
4699,i was there when bohemia minted and missed it lol cuz it was botted on public and hated it and missed,-1,
4700,trust im hawking my wallet collectibles waiting i have faith it ll come by tomorrow,1,
4701,no worries fam just keep a look on your wallet as well,0,
4703,good question in case i end up having to buy one  or might scoop a second tbh long as i get my airdrop first,0,
4704,ok great if possible keeep me updated and in the loop i can not afford to miss this i spent toe and money making sure to secure this talisman,1,
4705,what s fp,0,
4706,yes,0,
4707,but they are selling on fff,0,
4708,tysm guys,0,
4709,i checked it as well its there  just wait for the talismna to get sent to you,0,
4710,just checked it is on there  d,0,
4711,and thank you,1,
4713,whats ur addy ill try to help if i can check on my phone,0,
4714,yes im still getting info from the team on around what time will the airdrop end ,0,
4715,on phone so looking up is not possible with that,-1,
4716,should be ya but non of those are the talisman wltoken,0,
4717,appreciate that so when should i start to worry about not getting a talisman like tomo afternoon,0,
4718,congrats,1,
4719,yse sir,0,
4720, ,0,
4722,talisman is the name of the wl token check the token address in ,0,
4723,     ,0,
4724,check your wallet in one of the announcement in   theres a post whre u can check ur wallet,0,
4725,  ,0,
4726,but does that mean it was submitted,0,
4727,this right,0,
4728,yea,0,
4729,where did u won the wl you shouldve filled up the form in your server,0,
4730,where should i submit my wallet ,0,
4731,no the team will know the staked guru masters and that staking wallet will get talisman token the role is just for more discord organization you can refresh your boho nft in matrica and once your matrica reflects your boho as guru your role will follow up,0,
4732,gm guys,0,
4733,fff token how much,0,
4734,yo,0,
4735,gm guys,0,
4736,like i know not everyone has got theirs yet but i need to be sure i get mine as my bohemia turned guru and staked before the snap shot was taken,0,
4737,hi,0,
4738,so do i have to have a discord role as guru or something in order to get my talisman airdrop i have my guru staked but not sure how it works,0,
4739,hello,0,
4740,where is wallet submit,0,
4741,what do u mean fam,0,
4743,woopwoop,-1,
4744,i am guru correct,0,
4746,woopwoop,-1,
4747, ,0,
4748,woopwoop,-1,
4750,its still on going ,0,
4751,yo on,0,
4753,gm,0,
4754,oh alright   ,0,
4755,where do i submit my wallet,0,
4756,guys i haven t received token yet,-1,
4757,gm,0,
4758,morning,0,
4759,gm,0,
4760,hello,0,
4761,gm fam,0,
4762,morning guys,0,
4763,wl tokens are still being sent out ,0,
4764,i guess i will have to try my luck in public stage,0,
4765,okay thank you ,1,
4766,noice,0,
4767,he won from a giveaway in another discord,1,
4768,talisman airdrop will still continue up until mint so no stress if you havent recieved yet,0,
4769,is there still hope for wl,0,
4770,wow,0,
4771,yoo you got the talisman master  role now make sure you fill out the form in  aswell i will close our ticket,0,
4772, please check me wallet sumbit form i dont have token,-1,
4773, hello bro,0,
4774, for them to see,0,
4775,your roles are being assigned now please check for the talisman master ii channel and submit your wallet asap,0,
4776,your roles are being assigned now please check for the talisman master ii channel and submit your wallet asap,0,
4777,nothing just our organizational purposes,0,
4778,hello may i know the difference between talisman master and talisman master ii roles thank you ,0,
4779,im from brocoly dao,0,
4780,wazhup guys,0,
4781,can you dm me the list of winners,0,
4782,   i could really use some help here i ve haven t heard from  about assigning wl roles to the winners from monkey baby business and defi pirates and we re really coming down to the wire on the wallet submission deadline,-1,
4783,yes sir,0,
4784, thank,1,
4786,for the og bohemians it was almost identical,0,
4787,hello where wallet submit,0,
4788,they differ a small slight,0,
4789,yap i filled just now,0,
4790,cool got it but will solrarity ranking will be closer moon rank one,0,
4791,have you tried ,0,
4792,is wl submit available,0,
4793,i guess solrarity use to be pretty quick but the official ranking will be on moonrank shortly after the mint,0,
4794,morning,0,
4795,i was wondering if the rarity ranking will be up straight after the mint,0,
4797,gm,0,
4798,  just answered ,0,
4799,gm all,0,
4800,   ,0,
4802,no worries the airdrop is still ongoing,1,
4803,have you submitted it here yet   form closing soon,0,
4804,caw caw,0,
4805,wer can i send my wallet,0,
4806,lezgoooo,0,
4807,gm,0,
4808,but is it okay if i see my wallet was on the list but i am still not get the token,-1,
4809,tomorrow is the day guys,1,
4811,woopwoop,-1,
4812,thanks fam filled and submitted,1,
4813,hype for thisss,1,
4814,yooo,0,
4816,where to fill form for wl,0,
4817,youll get it ser wait a little more,0,
4819,charly right now,0,
4820,airdrop is still ongoing,0,
4821,haven t gotten my token yet,0,
4822,good morning bohemians   hope yall have fantastic start to the week  ,1,
4824,wagmi,0,
4825,tomorrows the big day woop woop,1,
4826,gm,0,
4827,cant wait,1,
4828,ok means tomorrow cool cool,1,
4829, utc ,0,
4830,when is mint ,0,
4831,gm,0,
4832,now now thats some scary stuff although i am pretty sure its because of food poisoning,-1,
4834,fortunately that s about the worst of the symptoms,-1,
4835,be safe fam new strain of the vid making people puke,-1,
4836,gm,0,
4837,yes sir,0,
4839,process is still on going ,0,
4840,oh really what happened,-1,
4841,well how are you,0,
4842,hello not so well got sick since yesterday,-1,
4843,not receive token yet ,-1,
4844,whats up fam,0,
4845,that will be my scenario hahaha,0,
4846,hi guys whats up,0,
4847,you know it ahahaha,0,
4849,thanks mate,0,
4850,gm,0,
4851,welcome coral,1,
4852,what is the fp of token on fff now ,0,
4853,thanks will ask the team if they can edit it,0,
4854,i know we can google it and convert but it helps,1,
4855,we need to edit the mint time to show it in local time for every user in discord that really helps,1,
4856,stay up and brace up for work few hours after  ,0,
4857,search fff token market  token id is in ,0,
4858,wtf lfg,-1,
4859,hloo,0,
4860,wondering whether i just stay up or set alarms what are you going to do,0,
4861,rdy to mint  of these babies,0,
4862,getting so excited,1,
4863,woopwoop stay tuned for more announcmenets,0,
4864,alright thank you ser cant wait,1,
4865,on fff check token address on ,0,
4866,ofcourse as long as you have the talisman token youll be able to mint,1,
4867,i hope i will be able to mint  ,1,
4868,maybe just some writings i have no idea yet what thats about,0,
4869,where do i buy token ,0,
4870,    ,0,
4871,just wondering why it is written  below my fabulosa talisman token,0,
4872,gm,0,
4873,woopwoop,-1,
4874,oh em geeeeeeeee,0,
4875,i m excited let s goo,1,
4876,its still on going ,0,
4877,ok thank you ser,1,
4878,anyone got their talisman airdrop,0,
4879,try some giveaways on twitter fam ive seen some giveawaya,0,
4880,gm,0,
4881,oh yeah not yet wl ,0,
4882,we suffer from that it is what it is we will need tons of coffee hahaha,0,
4883,check info ,0,
4884,july ,0,
4885,wassup,0,
4886,appreciate it ahahahah ,1,
4887, for wl,0,
4888,good morning sir,1,
4889,whats mint price of talisman,0,
4890,wen mint frend,0,
4891,gm fam,0,
4892,no worries fam,1,
4893,gm,0,
4894,ty,0,
4895,ill take note of this and ask the team regarding this and hopefully we can have like an announcement to ease everyones mind regarding this,1,
4897,woopwoop,-1,
4898,but most util r related to rarity,0,
4899,unless theres enough util for everyone to hold on to it  but yes the team thought about that for sure this is not the first time rarity mattered for a project,0,
4900,hv the team thought abt that,0,
4901,and pph will crash the fp to sell thier common tho,-1,
4902,gm,0,
4903,its not really fucked but just rarer is more beneficial all are useful in the end none will get fked,1,
4904,rarity matter for fablousa so i pulled a common at mint then i m totally fked,-1,
4905,hi,0,
4906,i cant believe im granted talisman master ii ,-1,
4907,hello,0,
4908,hey there,0,
4909,hello,0,
4910,   woopwoop,-1,
4911, ,0,
4912,and a good morning to you,1,
4913,gm,0,
4914,hello fam,0,
4915,hey guys,0,
4916,woopwoop,-1,
4917,too,0,
4918,gn,0,
4919,what u mean,0,
4920,ok,0,
4921,so u mena we not get in gen  nft,0,
4922,sir,0,
4923,okay,0,
4924,nothing just our organizational management,0,
4925,no however you can rent your fabulosa to earn woop more info on ,0,
4926,yes wait for the team to address it  thank you,1,
4927,test,0,
4928,whats the difference,0,
4929,its talisman  and talisman ,0,
4930,one question,0,
4931,yeah its insane,0,
4932,i hope you resolve my issue before wallet submission closed  ,0,
4933,sir its this gen  collection can we staked nft and earn woops tokens like gen ,0,
4935,   kindly check my  thank you   ,1,
4936,woopwoop,-1,
4937,no worries fam just wait it out,0,
4938,lfg,0,
4939,thanks boss,1,
4940,the wl tokens are still being sent out ,0,
4941,hi,0,
4942,i dont receive my token yet,-1,
4943,chilling,0,
4944,whats up,0,
4945,indeed,0,
4946,yo,0,
4947,art is so nice,1,
4948,its for those who havent submitted yet we already got yours from the form you submitted in okb,0,
4949,post it on ,0,
4950,thats why hahaha asia and aussie fam gets the hard time on minting hahaha,0,
4951, why i cant see the wl channel sir,-1,
4952,excited to mint,1,
4953,gm,0,
4954,if anyone is looking to pick this rank  up for  sol please dm i really need liquid,0,
4955,yuh,0,
4956,gm,0,
4957,it s separate but if you have a bohemian then you will earn woop to cast the spells,0,
4958,australia so close,0,
4959,try some giveaways on twitter etc minting is near so only few wl left,1,
4960,i assume youre around asia,0,
4961,its best always both but u can have fabulosa or just boho only,1,
4962,ok  ,0,
4963,yes  just make sure you use the official token address in ,0,
4964,yo,0,
4966,how to get wl role sir,0,
4967,hello,0,
4968,fabulosa mint is  aest  ,0,
4969,if fabulosa seperate from bohemian or do i need both,0,
4970,if i buy token from fff can i able to mint ,0,
4971, total fabulosa so around the same talismans are sent and being sent out,0,
4972,hahahaha   ok,1,
4973,hey how many token to be sent to talisman master,0,
4974,maybe some as what your thinking hahaha,0,
4975,goodluck fam ,1,
4976,what is the meaning of basura in your bio   ,0,
4978,ya im participate and finding my luck  ,0,
4979,submit your wallet here ,0,
4980,thank you,1,
4981,theres some giveaways on twitter etc,0,
4982,yes,0,
4983,you can open a ticket to be sure,0,
4984,blocksmith,0,
4985,wheres wallet submissions,0,
4986,hi i won a giveaway will role be automatic or do i have to open a ticket,1,
4987,today wallet submission will be closed   but i have not whitelist yet  ,0,
4988,gm,0,
4989,gm fam,0,
4990,good morning guys,1,
4992,hi,0,
4994,woopwoop,-1,
4996, ,0,
4997, ,0,
4998, minted of  ,0,
4999,that moment you wake up with a talisman,0,
5002,hayo,0,
5003,gw is fake,-1,
5006,so i dont recieved nothing,-1,
5007,   ,0,
5009,nice to hear that fam  congrats on the wl,1,
5010,im good thanks,1,
5014,lfg,0,
5015,woopwoop thanks fam,1,
5016,stoked to be a part of this community after mint,1,
5017,thanks man,1,
5018,ok great,1,
5019,ahh,0,
5020,we already got it through the forms you filled up in your server,0,
5021,lads time to raid  ,0,
5022,how are ya,0,
5023,thanks bro where do we sub our wallets i see that talisman ii is supposed to sub their wallets from their channel,0,
5024,sup fam,0,
5025,helloooo,0,
5026,yes,0,
5027,ask your wl team if they send out the winners out  meanwhile i will our team regarding that as well,0,
5028,hello,0,
5029,is talisman master wl for fabulosa,0,
5030,naps are nice ,1,
5031,mikey dao saying yesterday night  quickly go this sever  wallet submit but ur team say not recieved wl list  that something wrong,-1,
5032,sure everyone doesig,0,
5033,not much just got up from a nap haha,1,
5034,whats up fam,0,
5035,whats good,1,
5036,i hate mondays hahaha,-1,
5037,yoo,0,
5038,bruhhh good luck with it,1,
5039,i ask for patience the team will look into it asap thank you,1,
5040,mint is nearly ,0,
5041,che k ticket  sir why so long,-1,
5042,wl from where,0,
5043,im at work stressing out hahaha but good nonetheless,1,
5044,something wrong,-1,
5045,waiting wl why so long  ,0,
5046,good wbu,1,
5047,gm,0,
5048,whats up fam,0,
5049,hey,0,
5051,yo,0,
5052,hello fam,0,
5053,hi,0,
5054,no worries fam getting some good time outside discord and all is always a good time,1,
5055,hihave a nice day guys,1,
5056,gm,0,
5057,so im very happy now,1,
5058,and i forget that i participate by getrugged,0,
5059,i have been touching grass this weekend,0,
5060,thanks master,1,
5061,lol congrats,1,
5062,yes and it will continue until around tuesday,0,
5063,talisman,0,
5064,i got,0,
5065,lol,0,
5066,genlo,0,
5067,i thought everyone got it thank you for info  fam,1,
5068,ok too late understand,-1,
5069,u can try on twitter there are some ongoing giveaways but heres gonna be hard to get one now,0,
5070,okwl closedany chance,0,
5071,july ,0,
5072,whats up,0,
5073, ,0,
5074,mint date,0,
5076,hi,0,
5077,hi everyone,0,
5079,hii,0,
5081,hellooo,0,
5082,coz its still being sent out ,0,
5083,hi,0,
5084,i didnt get my token yet  ,-1,
5085,hello fam,0,
5086,ill ping the team as well just incase we need to rush things,0,
5087,yo,0,
5088,check,0,
5090,hi everyone,0,
5091, thank you ser i know the deadline for wallet subs is only about  hours away so im just trying to give my folks time to get them submitted ,1,
5092,hello ,0,
5093,hi,0,
5094,okey im sorry,-1,
5095,hey guys,0,
5096, warning no selling of wl here,0,
5097,dont ping everyone,0,
5098,no,0,
5099,thanks,0,
5100,kindly wait for it  as the team will assign it as soon as possible,0,
5101,i mean thanks to this one,0,
5102,thank you ,1,
5103,hii im selling a wl in famous fox federation check it,0,
5104,im waiting on admin to get back with me and assign your wl roles thanks for your patience  here are your winners from defi pirates i pinged them here to make it easier to assign wl thanks,1,
5105,im waiting on admin to get back with me and assign your wl roles thanks for your patience  here are your winners from mbb i pinged them here to make it easier to assign wl thanks,1,
5106,how to claim wl,0,
5107,hello sir,0,
5108,yo,0,
5109,welp i made a guru earliest possible and staked it earliest possible does that count as i will get it,0,
5110,hello my fellow pirates          ,0,
5111,yes coz its on going and still hasnt finished  ,0,
5112,yo ,0,
5113,oh cuz i saw someone in another dc said that they already sent,0,
5114,sup,0,
5115, ,0,
5116,hey my fellow mbbs          ,0,
5117,wl tokens is still being sent out  ,0,
5118,gm,0,
5119,still didn t receive my token should i worry ,-1,
5120,t,0,
5121,yes still being sent out until tuesday kindly wait it out thanks,0,
5122,oh understood brother   ,0,
5123,not much just chillin preppin for work crazy work week ahead  ,0,
5124,huh huh,0,
5125,and you,0,
5126,im fine mod,1,
5127,whats up fam,0,
5128,dont worry  ,0,
5129,its still being sent out  ,0,
5130,hey,0,
5131,because im yet dont get my talisman,-1,
5132,talismans yet distribute or no,0,
5133,brother can naswer me,0,
5134,hey all,0,
5136,in  month staking ,0,
5137,hello fam,0,
5138,hello,0,
5139,gm fam how are u,0,
5140,morning,0,
5141,hello everyone,0,
5142,gm gm,0,
5144,hi,0,
5145,sell ur tripping ape,-1,
5147,welcome everyone,1,
5148,yes still on going  ,0,
5149,hey,0,
5150,a,0,
5151,hey,0,
5152,caw caw,0,
5153,brother talisman yet going,0,
5155,gm,0,
5156,gn,0,
5157,hw are you doing,0,
5158,ho,0,
5159,as long as your guru was staked during the snapshot you will get talisman  ,0,
5160,my guru master is staked ill get a tailsman right,0,
5161,yoo,0,
5162,ma fam,0,
5163,can someone borrow me sol because i need to purchase ,0,
5164,hey,0,
5165,hello everyone,0,
5166,hello everyone,0,
5167,hi guys,0,
5168,hi,0,
5169,hi,0,
5170,hi,0,
5173,hello,0,
5176,gm gm gm,0,
5177,hi,0,
5178,hi,0,
5179,hmmm,0,
5180,ohhh ok tnks,0,
5181,youll receive it dw,0,
5182,and will last till tuesday,0,
5183,airdrop is still ongoing,0,
5184,neither do i  ,0,
5185,still did not received my token ,-1,
5186,hi,0,
5187,gn everyone,0,
5188,cool thx was worried i missed it but all good now,1,
5189,yeah since its a token u can just pass it on ur burner and mint from there so no big deal,0,
5190,yeah just checked its on my main wallet which is wired but okay,1,
5191,if not  and a mod will help ya,0,
5192,be sure to check if u see any of ur wallets,0,
5193,wallet submission for your role ends tomorrow so most likely between monday and tuesday before mint,0,
5194,i didnt see my burner wallet on that list maybe i used my main that why i though i miss something,-1,
5195,and for the talisman master when the airdrop will be done,0,
5196,l,0,
5197,already have the role,0,
5198,you have talisman master role which means you already submitted it in the dyno form,0,
5199,p,0,
5200,you re good,1,
5201,dam i didnt get my wallet listed guess it to late right,-1,
5202,after wallet submissions closes up,0,
5203,actually for talisman master ii the airdrop starts tomorrow,0,
5204,yes it is,0,
5205,correct,0,
5206,yes you will be able to mint if you buy a talisman from fff,0,
5207,if i buy a talisman token off fff then i can mint a fabulosa dont need to submit wallet or do anything else,0,
5208,i did not received the airdrop it is still live ,0,
5209,hi,0,
5210,ok and then did i miss out on the talisman and and ayuasca or do i have to proceed through those too,0,
5211,ayy,0,
5212,gm,0,
5213,hi,0,
5214,halo,0,
5215,wallet submission closes tomorrow at  utc,0,
5216,you in fam,0,
5217,hi,0,
5218,good afternoon,1,
5219,hey guys,0,
5220,hi fam i won the wl of fabulosa from degods raffle but i just admitte the wallet and other details am i entered or not,0,
5221,gm,0,
5222,yo,0,
5223,hey fren,0,
5225,hi,0,
5226,hello everyone,0,
5227,hey,0,
5229,lfg,0,
5230,hey send proof in a ticket please  ,0,
5231,hope i get a wl soon,1,
5232,btw good luck guys in minting,1,
5233,how can i claim my wl  that i won in a dao giveaway,0,
5234,welcome  ,1,
5235,greetings,1,
5236,hi guys from mbb,0,
5237,quite a few tokens have already sold on fff and the talisman airdrop is just getting started,0,
5238,fabulosas are looking clean it will be an easy sell out,0,
5239,not much excited for mint,-1,
5240, ,0,
5242,nice fan art,1,
5243,alright thx,0,
5244,we have an ongoing giveaway on twitter,0,
5245,check my fanart,0,
5246,any chance to get whitelist ,0,
5247,bohemians are and will remain the main collection so to fully enjoy the experience you need one of them for sure,1,
5248,wassup,0,
5249,does the first bohemian start the whole cascade,0,
5250,more information about fabulosa can you find in   there is a manuscript  with more information  ,0,
5251,thanks that s helpful,1,
5252,hey guys,0,
5253,sup would suggest you to read the manuscript and go through the roadmap you can find it in  ,0,
5254,yoo,0,
5255,what do i need to buy to have a round footprint,0,
5256,where to start,0,
5257,yo,0,
5258,yoo,0,
5259,yo,0,
5260,yoo,0,
5261,yo,0,
5262,yes i will do it,1,
5263,you still need to submit your wallet fam,0,
5264,hi   ,0,
5265,how are you today,0,
5266,your welcome im good,1,
5267,fine thanks and you ,1,
5268,hello dear,0,
5269,good and you,1,
5270,hey fam,0,
5271,hey brotha  how are you,0,
5272,hello,0,
5273,hello everyone,0,
5274,thank you,1,
5275,hi,0,
5276,hello,0,
5278,where confirmed wallet,0,
5279,gm,0,
5280,yo,0,
5281,it s for people that still need to submit their wallets,0,
5282,ok ty,0,
5283,all the announcements for fabulosa are done in public no role needed,0,
5284,you can track the progress of the drop here  ,0,
5285,so wl announcments or so ,0,
5286,no less than  have gone out so far,0,
5287,not sure bro those roles will probably go away after mint anyways,0,
5288,should i be worried about not geting my talismans yet  ive got  guru masters staked and nothing yet,0,
5289,hii,0,
5290,hi,0,
5291,what is talisman master  guys ,0,
5292,gm,0,
5293,hi i left server by mistake and i had wl how can i get my role back  i got the token tho,-1,
5294,gm,0,
5295,you are good it has already been submitted,1,
5296,only people with the talisman master ii role still need to submit their address,0,
5297,qq,0,
5298,where can i submit wallet,0,
5299,yes the talisman master role you have is wl,0,
5300,hi,0,
5301,so i dont need to confirm my wallet somewhere right,0,
5302,am i wl,0,
5303,hey,0,
5304,yes you are good to go,1,
5305,nice where are you from mate,0,
5306,you still need to submit your address,0,
5307,wherer can we submit our wallets,0,
5308,hello when i found my wallet in talisman master summary it means that i have wl and i will get wl token,1,
5310,i won a wl giveway on twitter so uhm what next,1,
5311,yo,0,
5312,bonjour,0,
5313,yo,0,
5314,hey,0,
5315,hello ser ,0,
5316,and you,0,
5317,good good,1,
5318,gm,0,
5319,cool how was your day,1,
5320,gm,0,
5321,is it normal that i still havent received the key,-1,
5322,hello guys,0,
5323,hey guys,0,
5324,im good too bro,1,
5325,i m good and you,1,
5326,how are you,0,
5327,hello mate,0,
5328,hello,0,
5329,hii,0,
5330,hi,0,
5331,hmm,0,
5332,hi,0,
5333,thanks brother,1,
5335,we have talisman adres,0,
5336,wen wallet submit,0,
5337,hi,0,
5338,the nft miniature is ,0,
5339,hi welcome,1,
5341,hey welcome,1,
5342,lol,0,
5343,  ,0,
5344,you dont have talisman master ii you have talisman master its different role,0,
5345,hello from mbb,0,
5346,i cant see that channel and i have wl,-1,
5349,is wl address collection started,0,
5350,oh i see thanks,1,
5351,looks like you got the wl role already just need to fiil up the form in ,0,
5352,talisman role is just for those that have won a giveaway if you had a guru staked during the time of the snapshot then youll get airdropped a talisman token,0,
5353,how to become talisman whatever i have been holding since mint this project,0,
5354,hi from generous robots,0,
5355,hello any moonbears fam here,0,
5356,i cant open any ticket to claim wl from my alpha,-1,
5357,hey,0,
5358,hmm,0,
5359, wl  public,0,
5360,mint price,0,
5361,not much just to be easier for the team to organise things ,0,
5362,alright thx man  ,0,
5363,the role is only for people outside the project you will get your talisman in the staking wallet,0,
5364,sup,0,
5365,sup,0,
5366, ,0,
5367,what is the difference between talisman master  and  ,0,
5368,yoo,0,
5369,ayo,0,
5371,yoo,0,
5372,yo,0,
5373,hmmm dont have talisman role yet and had a staked guru at the time of the snapshot  ,0,
5374,sup,0,
5375,evening all,0,
5376,yoo,0,
5378,congrats  ,1,
5379,congrats mate,1,
5380,congrats fam,1,
5382,i got wl,0,
5383,lesgoo,0,
5384,yoo,0,
5385,no you dont,0,
5386, ,0,
5387,i got whitelist in many projects for this week which one im looking but im looking this one most im bullish on this project i hope i get whitelist today              ,1,
5388,if my wallet in list wich the was in friday list and in next  hours im dont get talisman me need create ticket,0,
5389,hey guys,0,
5390,ok i think i find someone with same name  ,0,
5391,me  nope,0,
5392,someone who has access to the wl inquiries will be back with you sorry i cant help,-1,
5393,hello,0,
5394, you are working on anyother project also currently   ,0,
5396,me too bro,0,
5397,hoping that something good happens in this market after such shit performance by my holdings,-1,
5398,really looking forward for this mint man,1,
5399,gn,0,
5400,yoo,0,
5401,ayo,0,
5402,on which other projects u r looking on ,0,
5403,i only been in nft discords for  yearyou would think i wouldnt make mistakes ahaha,0,
5404,no problem bro  ,1,
5405,lol rookie mistake on my part,-1,
5406,hello faam,0,
5407,im not a mod bro  can u help here,0,
5408,oh sry,-1,
5409,can i get my ticket looked at pleasei won a colab long time ago and never got my wl either,-1,
5410,hello sir  ,0,
5411,ok mate,0,
5413,its still ongoing bro,0,
